,STATE,CONG_DISTRICT,agi_stub,N1,A00200,A04800,A00650,A01000,A04470,A04475,TOTAL_DIST_POP,WAGE_PROPORTION,TOTAL_INC_PROPORTION,combined_capgains_dividends,CAPGAINS_DIVS_PROPORTION,ITEMIZED_DEDUCTIONS_PROPORTION,BUSINESS_DEDUCTIONS_PROPORTION,CTC,CDCTC,CTC_PROPORTION,CDCTC_PROPORTION,HOMEBUYER_CREDIT_TOTAL,HOMEBUYER_CREDIT_PROPORTION,PAYROLL_TOTAL,PAYROLL_PER_FILER,MARGINAL_RATE_TOTAL,MARGINAL_RATE_PER_FILER,PEASE_LIMIT_TOTAL,PEASE_LIMIT_PER_FILER,CAPITAL_GAINS_AND_DIVIDENDS_TOTAL,CAPITAL_GAINS_AND_DIVIDENDS_PER_FILER,ITEMIZED_LIMIT_TOTAL,ITEMIZED_LIMIT_PER_FILER,BUSINESS_DEDUCTION_TOTAL,BUSINESS_DEDUCTION_PER_FILER,CTC_TOTAL,CTC_PER_FILER,CDCTC_TOTAL,CDCTC_PER_FILER,HOMEBUYER_CREDIT_PER_FILER,NET_TAX_CHANGE_PER_FILER,NET_TAX_CHANGE_TOTAL
240,AR,4,9,810,263387,741408,42439,106116,54586,42275,273600,0.00029289096317869405,0.0003358435524363808,148555,0.00020098934870912472,0.00033523530102276555,0.0006413927333048051,130465,4905,0.001624562564131402,0.001310026873578801,-5733190.6177636245,0.00039539245639749136,23812035.306427825,87.03229278665141,10209643.994065978,37.31595027070898,6616117.982996702,24.181717774110755,7939079.274010426,29.01710260968723,9688300.199557925,35.41045394575265,22961859.85231202,83.92492636078956,0.0,0.0,-9432193.489767367,-34.47439140996845,-20.954644070773483,241.45340826695866,66061652.50183989
260,CA,1,9,1640,400463,1616364,70428,597795,105525,75992,294080,0.00044532187916423115,0.0007321817781710991,668223,0.0009040806809764561,0.0006480728600818402,0.0011529442126386458,145175,4451,0.0018077328804489807,0.0011887726023036174,-28029590.0859313,0.0019330751783400897,36204668.77605199,123.11163212748909,22258326.056401413,75.68799665533669,14423981.029970651,49.04781362204384,35711186.898570016,121.43357895324407,18729305.656365182,63.687791268924045,41275402.81246352,140.35433491724538,0.0,0.0,-8559162.736586045,-29.10487872886985,-95.31280633137683,448.90546248403643,132014118.40730542
270,CA,2,9,10780,5972419,15552143,821897,5356364,945313,337899,335990,0.006641434669959917,0.007044821411582547,6178261,0.008358955636262566,0.005805559815991895,0.0051265751198334795,158426,7307,0.0019727355902738777,0.0019515527757880326,-90340867.51567747,0.0062304046562536184,539948638.6677413,1607.037824541627,214162570.91210943,637.4075743686104,138782981.8081762,413.0568820743956,330178747.63237137,982.7040912895364,167780678.68216577,499.3621199504919,183531389.29003856,546.2406300486281,0.0,0.0,-14051179.985673836,-41.82023270238351,-268.8796318809413,4375.109257689965,1469992959.4912512
280,CA,3,9,1770,546942,1638316,76234,381201,106930,83622,322700,0.0006082090960559225,0.0007421256116110991,457435,0.0006188924151106221,0.0006567015487187981,0.0012687059289039483,209691,7199,0.00261109223650234,0.001922708147378958,-46663602.000649646,0.003218179448320665,49447399.5093465,153.23024328895724,22560618.592977412,69.9120501796635,14619874.548738651,45.30484830721615,24446250.396869574,75.75534675199744,18978674.757973265,58.8121312611505,45419672.254761346,140.7489068942093,0.0,0.0,-13843498.661128497,-42.89897322940346,-144.6036628467606,356.26089060703003,114965389.3988886
290,CA,4,9,4480,2082291,4672565,109650,1127694,314747,190083,353570,0.0023155441104091164,0.0021165820015293844,1237344,0.0016740800692615072,0.0019329920728943756,0.0028839232389066176,220877,7949,0.002750381370311207,0.00212301806688642,-81707994.09779151,0.005635034075709759,188253736.17626116,532.4369606478524,64344092.84649328,181.9840281881757,41696665.43012887,117.93043931931123,66126162.73582953,187.0242462195026,55863470.90664745,157.9983338706549,103244451.95285691,292.00569039470804,0.0,0.0,-15285730.081582224,-43.232542584445014,-231.09425035436126,1195.0529057013987,422534855.86884344
300,CA,5,9,3350,1298693,4114553,172839,1407612,315192,187765,354460,0.0014441693919723742,0.001863813306853673,1580451,0.0021382909841922847,0.0019357250027473621,0.002848754738473725,193906,7485,0.002414535918142518,0.0019990929966844703,-72402708.38988711,0.0049932902337853175,117410971.56735402,331.23898766392267,56659924.528351665,159.84857114583215,36717122.14501736,103.58608064384518,84462493.87559524,238.28497961856132,55942452.579398766,157.82444444901756,101985419.63735937,287.7205316181215,0.0,0.0,-14393469.576128187,-40.606752739739846,-204.26199963292646,1033.634842766634,366382206.36706114
310,CA,6,9,1370,543559,1420596,37110,368851,101898,60483,343220,0.0006044471407261852,0.0006435026425624121,405961,0.0005492500218188885,0.0006257979464261488,0.0009176429731158965,185633,7392,0.002311519736844399,0.0019742545666655447,-34572112.58662173,0.002384283626663568,49141552.541038856,143.17799819660524,19562480.33389733,56.99691257472563,12677002.05847952,36.93549926717417,21695375.861846097,63.211280991335286,18085560.6517157,52.69378431244012,32851618.437549096,95.71592109302807,0.0,0.0,-14214632.879991923,-41.415514480484596,-100.72872381161277,306.5871581432112,105226844.41791295
320,CA,7,9,2480,1020201,2378224,59072,513249,166778,105708,356400,0.001134481403888069,0.0010772896929213867,572321,0.0007743288683824507,0.0010242529775762062,0.0016037928575324504,230326,9475,0.0028680412152387942,0.002530581983110936,-60342275.52134582,0.0041615362428514355,92233338.13610001,258.7916333785073,32749606.664810155,91.89002992370975,21222606.950551316,59.547157549246116,30585990.301106803,85.81927693913245,29600911.05195236,83.05530598190897,57415784.299661726,161.09928254675006,0.0,0.0,-18220190.27839874,-51.12286834567548,-169.31053737751353,519.7692805960656,185245771.6044378
330,CA,8,9,620,167749,644834,10810,104123,92269,34808,292900,0.00018653982991667298,0.00029209738941549215,114933,0.0001555000425107592,0.0005666622575398372,0.0005281040392873721,178574,5854,0.0022236203987828227,0.0015634856917289097,-25980535.06573162,0.0017917610390159736,15165688.172225513,51.777699461336674,8879760.63823096,30.316697296793993,5754318.571485195,19.64601765614611,6142251.6791749885,20.970473469358105,16376539.242901295,55.911707896556145,18906124.606487922,64.5480525998222,0.0,0.0,-11257096.98044815,-38.43324336103841,-88.70104153544425,116.03636348353058,33987050.864326105
340,CA,9,9,1430,529243,1488283,61660,419227,94819,83793,335250,0.0005885274976577491,0.0006741635506369964,480887,0.0006506220923744395,0.0005823228668097608,0.0012713003264768665,242950,6995,0.0030252364615469597,0.0018682238492729285,-54795085.685543,0.0037789714265891723,47847285.55957501,142.7212097228188,20494571.93936469,61.13220563568886,13281021.947548829,39.615277994179955,25699572.64879036,76.65793482114947,16829130.850802086,50.19874974139325,45512551.68787182,135.7570520145319,0.0,0.0,-13451211.714765085,-40.12292830653269,-163.44544574360327,302.51405587962626,101417837.23364471
