,STATE,CONG_DISTRICT,agi_stub,N1,A00200,A04800,A00650,A01000,A04470,A04475,A00900,A26270,A07180,TOTAL_DIST_POP,TOTAL_INC_PROPORTION,capgains,CAPGAINS_PROPORTION,combined_capgains_dividends,CAPGAINS_DIVS_PROPORTION,CDCTC,ADDITIONAL_CTC,CDCTC_PROPORTION,ADDITIONAL_CTC_PROPORTION,comb_passthrough,PASSTHROUGH_PROPORTION,EITC,EITC_PROPORTION,PREMIUM_TAX_CR,PREMIUM_TAX_CR_PROPORTION,MARGINAL_RATE_TOTAL,MARGINAL_RATE_PER_FILER,CAP_GAINS_AT_DEATH_TOTAL,CAP_GAINS_AT_DEATH_PER_FILER,NIT_TOTAL,NIT_PER_FILER,PASSTHROUGH_LIMIT_TOTAL,PASSTHROUGH_LIMIT_PER_FILER,1031_LIMIT_TOTAL,1031_LIMIT_PER_FILER,CARRIED_INTEREST_TOTAL,CARRIED_INTEREST_PER_FILER,ADDITIONAL_CTC_TOTAL,ADDITIONAL_CTC_PER_FILER,EITC_TOTAL,EITC_PER_FILER,CDCTC_TOTAL,CDCTC_PER_FILER,PREM_TAX_CREDIT_TOTAL,PREM_TAX_CREDIT_PER_FILER,NET_TAX_CHANGE_PER_FILER,avg_tax_paid,pct_change
840,CO,5,9,2350,836014,2542394,71898,850287,204353,114772,57717,833226,57,374130,0.0011516555427685431,850287,0.0013629521834713197,922185,0.0012476817511313937,7728,86712,0.002063993410604888,0.0024799730564049154,890943,0.0016309544930868396,127779,0.0020235728924754143,46174,0.0010955880266327498,0.0,0.0,33936943.63077391,90.70896113857191,32292898.963119425,86.31464721652748,35554807.9492931,95.03329845052014,1090361.7467770558,2.914392715839563,1090361.7467770558,2.914392715839563,-6695927.252293271,-17.897327806626762,-30758307.965626296,-82.2128884762684,-21259132.129230347,-56.82284801868427,-40646315.788075015,-108.64222539778957,12.310402537929633,7.874078528853607,1.563408657002804
850,CO,6,9,4740,2212699,5179295,188640,1349127,307484,193275,132284,1295931,169,398850,0.0023461209373462186,1349127,0.0021625587483168752,1537767,0.002080541131543096,10560,73622,0.002820363666665064,0.002105597568486976,1428215,0.0026144811411549567,109631,0.001736171982680817,50351,0.0011946972913108153,0.0,0.0,56590718.77797221,141.88471550199876,51766726.594868146,129.78996262973084,56995688.87717806,142.9000598650572,1730046.9986535,4.3375880623129,1730046.9986535,4.3375880623129,-5685113.434914836,-14.253763156361629,-26389814.13674842,-66.16475902406523,-29049745.76665016,-72.83376148088294,-44323269.50763125,-111.12766580827692,158.86996465182585,11.61970414942961,13.672462104779534
860,CO,7,9,2500,971647,2525586,77907,720164,154138,123508,55930,771982,131,402110,0.0011440418423102924,720164,0.0011543738717132443,798071,0.0010797601596286889,8381,71814,0.002238396580522718,0.002053888562974705,827912,0.0015155703521779861,108485,0.0017180233468738627,49573,0.0011762373899654635,0.0,0.0,29369476.341900337,73.03841322498903,30008292.973124124,74.6270746142203,33039433.677480098,82.16516295909103,923499.0973705954,2.296633004328655,923499.0973705954,2.296633004328655,-5545499.120031703,-13.791000273635829,-26113954.872482713,-64.94231646187042,-23055484.779384,-57.33626316028947,-43638407.16771869,-108.52355616054983,-10.16921924938785,8.415819054487578,-1.2083457573823793
880,CT,1,9,3250,1742980,3375203,131803,729733,138862,89394,137866,671560,141,360300,0.0015289019888022923,729733,0.0011697123273683786,861536,0.0011656259266228971,9581,58010,0.002558892451734657,0.0016590925938976052,809426,0.0014817300001473811,112667,0.0017842516147139004,65156,0.001545981146603791,0.0,0.0,31705025.2041428,87.99618430236693,29338254.002918147,81.42729392983111,32301714.00321291,89.65227311466253,935769.8618947029,2.597196397154324,935769.8618947029,2.597196397154324,-4479550.003523534,-12.432833759432512,-27120624.543651287,-75.27234122578764,-26356592.25286697,-73.15179642760747,-57355900.539000645,-159.18928820150055,-55.776115473158924,10.27646960865945,-5.4275561157850625
890,CT,2,9,3100,1550897,3063757,160774,640390,127251,96652,125342,611131,86,341770,0.0013878229459107925,640390,0.001026501579787999,801164,0.0010839448727353316,7957,41827,0.0021251547060278327,0.0011962569544036396,736473,0.0013481827102150687,73995,0.0011718222570118585,73325,0.0017398101107299862,0.0,0.0,29483300.53840102,86.2664965865963,26694017.66225836,78.10521011867151,29390383.082688496,85.99462528217367,821201.2638303993,2.402789196917223,821201.2638303993,2.402789196917223,-3229893.776889827,-9.450489442870431,-17811698.30658025,-52.11603799801109,-21889093.472086675,-64.04626933928277,-64546955.10808249,-188.86079851386162,-59.301684912750005,10.480536618193522,-5.65826799458018
900,CT,3,9,2690,1318806,3048410,164153,531908,151639,102801,178786,859504,95,346550,0.0013808710503293567,531908,0.0008526123179654195,696061,0.0009417444518987719,8695,55695,0.0023222596668231754,0.0015928833307555098,1038290,0.0019006869582309245,103008,0.0016312868038418477,77998,0.0018506881557002039,0.0,0.0,25615449.091646597,73.91559397387562,37633601.77297231,108.59501305142781,41434975.689434156,119.56420628894577,682089.8543723356,1.9682292724638164,682089.8543723356,1.9682292724638164,-4300784.993039876,-12.410287095772258,-24795559.418396086,-71.54973140498078,-23919274.568278708,-69.02113567531008,-68660530.57647756,-198.12589980227256,-45.09578211915883,9.824994950223633,-4.589903847037842
910,CT,4,9,20050,18391101,37293685,2099959,10777478,2616472,348957,896668,2810695,1016,354990,0.016893321428745535,10777478,0.017275563630179118,12877437,0.01742268974906792,9783,50562,0.002612842590055334,0.001446078947296168,3707363,0.006786674728185647,86523,0.0013702220034250562,102497,0.002431985229041819,0.0,0.0,473897161.17464745,1334.9591852577466,134376159.61807582,378.5350562496854,147949509.0744471,416.77092051733035,13820450.904143294,38.93194429179215,13820450.904143294,38.93194429179215,-3904413.157699654,-10.99865674441436,-20827374.452060852,-58.67031311321686,-26912278.677569937,-75.81137124304892,-90226651.99745148,-254.16674271796808,1808.4819667896986,42.76486098199949,42.28897102111291
920,CT,5,9,4240,2474301,4689569,219534,938381,214164,123047,207208,890063,159,350060,0.002124284486214778,938381,0.0015041608690689148,1157915,0.0015666156084313968,8988,59564,0.0024005140753774238,0.0017035371705381307,1097271,0.0020086571953356045,110165,0.001744628676852644,93587,0.0022205742766162593,0.0,0.0,42611944.54933399,121.72754541888244,39771412.46764497,113.6131305137547,43788726.858316176,125.08920430302284,1203328.6952551317,3.437492701980037,1203328.6952551317,3.437492701980037,-4599550.360452953,-13.139320003579252,-26518355.888160188,-75.75374475278578,-24725294.976387464,-70.63159165967967,-82383305.66246322,-235.34052923059824,-27.560320007022938,11.76092384162715,-2.3433805352496786
930,DE,0,9,3430,1553681,3929868,294353,924647,242806,141384,46793,1138521,127,469850,0.0017801545569053141,924647,0.001482146201917947,1219000,0.001649261324603164,13932,101186,0.003720957064770613,0.00289393110163977,1185314,0.0021698281416642077,176086,0.0027885869849069546,108213,0.002567610930957027,0.0,0.0,44859908.02920606,95.47708423796118,42962597.20495131,91.43896393519486,47302253.48827973,100.6752229185479,1185716.9615343576,2.5236074524515435,1185716.9615343576,2.5236074524515435,-7813613.97442738,-16.630018036452867,-42386522.17058571,-90.21288106967268,-38325857.76713731,-81.5704113379532,-95258365.5385057,-202.7420784048222,-98.51690285229387,8.712665744386506,-11.307320370435127
940,DC,0,9,7580,4036055,9935030,480761,2173199,766622,117984,532821,2493354,699,349990,0.004500377347913722,2173199,0.0034834900711967704,2653960,0.0035907084372795843,10348,59208,0.002763742729417622,0.0016933555300722187,3026175,0.0055396963813813755,117010,0.001853029560010238,6168,0.00014635047750402393,0.0,0.0,97667269.4940047,279.05731447756995,109685988.35135123,313.39749236078524,120765381.11411399,345.05380472046056,2786792.0569574162,7.962490519607464,2786792.0569574162,7.962490519607464,-4572059.93119499,-13.063401614888969,-28166049.31215562,-80.4767259411858,-28466550.113001503,-81.33532418926684,-5429602.715399288,-15.51359386096542,763.0445469917237,19.217406211606047,39.70590716508324
