,STATE,CONG_DISTRICT,agi_stub,N1,A00200,A04800,A00650,A01000,A04470,A04475,A00900,A26270,A07180,TOTAL_DIST_POP,TOTAL_INC_PROPORTION,capgains,CAPGAINS_PROPORTION,combined_capgains_dividends,CAPGAINS_DIVS_PROPORTION,CDCTC,ADDITIONAL_CTC,CDCTC_PROPORTION,ADDITIONAL_CTC_PROPORTION,comb_passthrough,PASSTHROUGH_PROPORTION,EITC,EITC_PROPORTION,PREMIUM_TAX_CR,PREMIUM_TAX_CR_PROPORTION,LABOR_INC_PROP_PRE_ADJ,QUAL_DIVS_ALL_PROP_PRE_ADJ,BUS_INC_ALL_PROP_PRE_ADJ,CAP_GAIN_ALL_PROP_PRE_ADJ,S_CORP_INC_ALL_PROP_PRE_ADJ,TOTAL_CAPITAL_INCOME,WAGE_INCOME_RATIO,CAPITAL_INCOME_RATIO,MARGINAL_RATE_TOTAL,MARGINAL_RATE_PER_FILER,CAP_GAINS_AT_DEATH_TOTAL,CAP_GAINS_AT_DEATH_PER_FILER,NIT_TOTAL,NIT_PER_FILER,PASSTHROUGH_LIMIT_TOTAL,PASSTHROUGH_LIMIT_PER_FILER,1031_LIMIT_TOTAL,1031_LIMIT_PER_FILER,CARRIED_INTEREST_TOTAL,CARRIED_INTEREST_PER_FILER,ADDITIONAL_CTC_TOTAL,ADDITIONAL_CTC_PER_FILER,EITC_TOTAL,EITC_PER_FILER,CDCTC_TOTAL,CDCTC_PER_FILER,PREM_TAX_CREDIT_TOTAL,PREM_TAX_CREDIT_PER_FILER,Rw,Rc,CORP_REV_WEIGHT,CORP_REV_PROPORTION,CORP_RATE_TOTAL,CORP_RATE_PER_FILER,GILTI_CHANGES_TOTAL,GILTI_CHANGES_PER_FILER,REPEAL_FIDII_TOTAL,REPEAL_FIDII_PER_FILER,BOOK_TAX_TOTAL,BOOK_TAX_PER_FILER,NET_TAX_CHANGE_PER_FILER,avg_tax_paid,pct_change
3710,PA,12,9,1270,377432,1222528,50477,259410,54578,61687,46311,354976,20,307170,0.0005537816512270488,259410,0.0004158165724211884,309887,0.0004192654996696478,4893,56042,0.0013068219148666817,0.001602807570198407,401287,0.0007345933866334194,93156,0.001475265547323423,98187,0.002329720222874124,0.0015171477959135715,0.0010761745816486668,0.001653125320973013,0.0007741706933883051,0.0009999182531022057,2182564,0.0015171477959135715,0.0010229200461729523,0.0,0.0,8175677.243558133,26.61613192550748,12561546.911431473,40.89444578387041,14838786.409995072,48.308058762232875,291071.60069483187,0.9475912383853627,291071.60069483187,0.9475912383853627,-4808422.710595221,-15.653946383420324,-22128983.209851347,-72.04148585425447,-12284125.999746807,-39.99129472196766,-80142375.66686986,-260.90560818722486,0.5,0.5,0.001270033921043262,0.0012700339210432621,126114368.35959592,410.5686374307254,58421560.367990054,190.19292368392112,11938318.857806664,38.865510491931715,7239193.349946594,23.567384021703273,392.31593942979566,5997.278380050135,0.06541566266705733
3720,PA,13,9,1210,426000,1566492,80188,355005,85852,81749,39294,452191,16,332820,0.0007095907221707496,355005,0.0005690488504390116,435193,0.0005887998225086339,5112,60990,0.0013653124113628607,0.0017443209326291147,491485,0.0008997092620232555,103801,0.00164384515305207,108978,0.002585762376367302,0.0016425555152113044,0.001099565981969851,0.0015561078377085927,0.0008736813258295052,0.001145182713226314,2339048,0.0016425555152113044,0.0010962606769656018,0.0,0.0,11481596.538918361,34.49791640802344,15385028.38059767,46.22627360314185,18174127.092869762,54.60647525049505,398334.1953073081,1.1968457283435734,398334.1953073081,1.1968457283435734,-5232962.797887344,-15.723101970696906,-24657677.29578105,-74.08712606147783,-12833936.66681089,-38.561194239561594,-88950225.74703519,-267.26226112323536,0.5,0.5,0.001369408096088453,0.0013694080960884533,135982223.94158342,408.57587867791426,62992772.42006885,189.26979274102774,12872436.103231462,38.67687069055784,7805626.147704184,23.452996057040394,402.066211489916,5861.757105943153,0.06859141452351662
3730,PA,14,9,2210,886611,2295094,91016,446317,119839,124549,71553,629821,40,336210,0.0010396334031132967,446317,0.0007154157709930517,537333,0.0007269914153675077,4642,45627,0.001239784861804851,0.0013049373863431484,701374,0.0012839307078390974,85747,0.0013579328748158095,57428,0.0013626159568905782,0.0019646951066848686,0.001276897317887324,0.0017505091437082384,0.0010414733958701904,0.0013880014412995278,2759140,0.0019646951066848686,0.0012931486161219738,0.0,0.0,14176332.5996664,42.165112874888905,21955215.10404857,65.30208829020127,25935400.298349768,77.14047856503306,500791.0396951362,1.48951857379357,500791.0396951362,1.48951857379357,-3914812.159029445,-11.643949195530904,-20368993.122237142,-60.584138253583006,-11653977.7009656,-34.6627931976015,-46873988.91703589,-139.41878265677968,0.5,0.5,0.0016289218614034212,0.0016289218614034214,161751940.83735976,481.10389589054387,74930405.62455739,222.86786717990955,15311865.497192161,45.54256416285108,9284854.609999502,27.6162357157714,718.4076165232912,8021.397340947622,0.0895614050753931
3740,PA,15,9,1060,345837,1279033,80453,301918,67167,71066,29896,345126,12,321700,0.0005793773285469829,301918,0.0004839540029769876,382371,0.0005173336357258707,4289,53648,0.0011455056596900058,0.0015343388980765165,375022,0.0006865128475182057,96043,0.0015209855399714834,76100,0.001805653589179024,0.0015542852777286405,0.001126181826394254,0.001438836609438118,0.000754898202444564,0.0008703007877475581,2014341,0.0015542852777286405,0.0009440776026398634,0.0,0.0,10088005.89665448,31.358426784751256,11739369.69256132,36.49166830140292,13867559.519867755,43.10711694083853,338767.80208389135,1.0530550266829075,338767.80208389135,1.0530550266829075,-4603016.69422955,-14.308413721571494,-22814783.099572252,-70.9194376735227,-10767753.201086054,-33.471411877793145,-62114483.46775843,-193.08201264457082,0.5,0.5,0.001249181440184252,0.0012491814401842521,124043717.01029624,385.5881784591117,57462346.2484756,178.6209084503438,11742305.53773197,36.500794335505034,7120334.209050237,22.133460394933905,424.12538780279476,5515.0108797015855,0.07690381706477141
3750,PA,16,9,1910,811265,2383972,122385,819342,121262,114855,59168,554536,34,331910,0.001079893426276576,819342,0.0013133494548426097,941727,0.001274121344901201,4559,62038,0.001217617230712692,0.0017742938517534845,613704,0.0011234425728978911,116344,0.001842482447054364,52785,0.0012524497333089985,0.0017372167518416334,0.0014280578612051954,0.0017306671756267319,0.001412551049587605,0.001333669824651048,3076357,0.0017372167518416334,0.0014418212911440327,0.0,0.0,24845366.225573417,74.85573265515778,19210867.99655394,57.87975052440101,22693539.972537402,68.37257079490645,919344.6183898267,2.769861162332641,919344.6183898267,2.769861162332641,-5322881.555260453,-16.03712318176751,-27637236.705815457,-83.26726132329685,-11445601.968699304,-34.48405281160346,-43084270.82582955,-129.80708874643594,0.5,0.5,0.001589519021492833,0.0015895190214928333,157839238.83423835,475.5483077769225,73117874.98867033,220.2942815482219,14941478.802032633,45.01665753376708,9060258.42250915,27.297334887497065,711.2088319824353,6897.267331505528,0.10311458115212614
3760,PA,17,9,5040,2888847,5763058,288071,1163343,277933,186877,156093,1225912,160,387110,0.0026105543393339487,1163343,0.001864759642304393,1451414,0.001963708758152237,7502,42732,0.002003633354859973,0.0012221400572734436,1382005,0.0025298894140461034,77325,0.0012245578217912286,55520,0.0013173441165731856,0.0028753035916220856,0.0028738741628706074,0.002649756111059224,0.002183589493872178,0.0025579591816430177,5233503,0.0028753035916220856,0.0024528284762354202,0.0,0.0,38292320.78396862,98.91844897824551,43261108.98018837,111.75404660222772,51103766.16373129,132.01355212660818,1305331.749613075,3.3719918101135984,1305331.749613075,3.3719918101135984,-3666420.171820331,-9.471261842422905,-18368367.32686843,-47.44999438626858,-18834153.535683744,-48.65323431501057,-45316637.610117584,-117.06398080679286,0.5,0.5,0.0026640660339287527,0.002664066033928753,264541757.1691252,683.376190667059,122547037.56072265,316.5690309233103,25042220.718930278,64.69019327563296,15185176.393393893,39.22703209267106,1230.654006935487,11937.661129911394,0.1030900436478231
3770,PA,18,9,2750,1415363,3128780,170694,823993,188111,89599,98309,636675,110,356980,0.001417277113265435,823993,0.001320804691257285,994687,0.0013457742405131644,5635,57120,0.0015049951952327307,0.0016336384927328254,734984,0.0013454569564460776,117320,0.0018579388768515607,48545,0.0011518456437147927,0.0021358059611506003,0.001933859260092091,0.0018612799762525692,0.0015519412546168604,0.0014230419780343635,3420971,0.0021358059611506003,0.0016033343412959853,0.0,0.0,26242597.690006707,73.512795366706,23007313.95522793,64.44986821454404,27178230.52021077,76.13376245226839,924563.2838800995,2.589958215810688,924563.2838800995,2.589958215810688,-4900915.478198476,-13.728823682554978,-27869083.15277341,-78.0690323064973,-14146954.835187668,-39.629544610868024,-39623490.14378887,-110.9963867549691,0.5,0.5,0.0018695701512232927,0.0018695701512232929,185648316.016473,520.052428753636,86000226.95627147,240.91049066130168,17573959.421498954,49.229535048179045,10656549.86197277,29.851952103683036,816.8969616770503,8432.307132052216,0.09687704075340502
3790,RI,1,9,2290,1115060,2737115,128312,818734,154384,92832,80656,639363,77,273900,0.001239860407531217,818734,0.0013123748722280917,947046,0.0012813177526005972,5677,49790,0.0015162125507251487,0.001423999659544247,720019,0.0013180621242412736,98110,0.0015537195977489483,35556,0.0008436507098140523,0.0017260112652187555,0.001478785042726197,0.001819613831170007,0.0014401906164154166,0.0013490302226671154,3153941,0.0017260112652187555,0.0014781832163211558,0.0,0.0,24985696.175711647,91.22196486203595,22538862.32452578,82.28865397782323,26624854.909673724,97.20648013754554,918662.4105596641,3.354006610294502,918662.4105596641,3.354006610294502,-4271998.978632741,-15.596929458315957,-23305793.966234226,-85.08869648132247,-14252397.976816397,-52.035041901483744,-29021584.4176034,-105.95686169260095,0.5,0.5,0.0016020972407699556,0.0016020972407699559,159088256.00845662,580.8260533350004,73696473.07541797,269.06342853383705,15059714.063237585,54.98252670039279,9131954.272388749,33.34046831832329,956.9600595518241,9084.753559693318,0.10533693107511538
3800,RI,2,9,1840,922415,2247136,112748,541333,96424,94115,68414,586079,37,267800,0.0010179093522698422,541333,0.0008677199514223784,654081,0.0008849470848710108,5162,44569,0.0013786664059966913,0.0012746784660820957,654493,0.001198110652470343,87602,0.0013873095933340472,36004,0.0008542805758843835,0.0016792625712399036,0.0013025488833579904,0.0018201874790235155,0.0010789739154702677,0.0013514744623359522,2797917,0.0016792625712399036,0.001311322548538365,0.0,0.0,17256468.15498471,64.43789452944253,20487692.157242868,76.50370484407344,24201835.17990093,90.3727975351043,607403.9659956648,2.2681253397896373,607403.9659956648,2.2681253397896373,-3824035.398246287,-14.279445101741176,-20809643.90001071,-77.70591448846419,-12959464.216368899,-48.39232343677707,-29387251.810422793,-109.73581706655263,0.5,0.5,0.0014952925598891342,0.0014952925598891345,148482551.19699106,554.4531411388763,68783457.75490019,256.84636951045627,14055750.062957864,52.48599724778889,8523167.591368066,31.82661535238262,881.3492707441685,8806.553398058251,0.10007879710790107
3820,SC,1,9,5440,2288205,6892399,345772,2040304,500972,239032,207885,2134082,149,383210,0.0031221240733428275,2040304,0.003270468432123821,2386076,0.0032282714227758976,12118,75669,0.0032364741394552317,0.0021641420011659696,2341967,0.0042871896421107815,129889,0.002056987920008288,127372,0.0030222037971210335,0.0024544917203489433,0.0037628346401392975,0.0031324041040834845,0.0034743343957854785,0.004350555051041323,7948830,0.0024544917203489433,0.003725442896804377,0.0,0.0,62951292.74413,164.2736169310039,73310942.88009436,191.30748905324592,86601230.77063778,225.98896367693374,2289327.9024866745,5.974081841514247,2289327.9024866745,5.974081841514247,-6492426.003497909,-16.942214460734085,-30854818.80012432,-80.51673703745811,-30422856.910879176,-79.38951726436987,-103963810.62096354,-271.29722768446425,0.5,0.5,0.00308996730857666,0.0030899673085766606,306833753.7416624,800.6934937545011,142138496.1945264,370.91541503229666,29045692.70062061,75.79575872399106,17612813.658886965,45.96125794965415,1438.7384623576286,12251.272148430366,0.11743584216615088
3830,SC,2,9,2250,947804,2246274,68106,534386,206391,103254,61067,786165,88,322060,0.0010175188828627137,534386,0.0008565843832923526,602492,0.0008151491008882768,10860,82024,0.002900487634468049,0.0023458957235279634,847232,0.0015509374192141912,149906,0.0023739872594042795,112107,0.0026600053472022713,0.00188772959574176,0.0013145216500957875,0.0015405199512337985,0.001104596236507699,0.0018558491093337657,3064357,0.00188772959574176,0.001436197153407831,0.0,0.0,15895407.467321398,49.355422801097305,26521029.868562672,82.34810242986609,31328935.86812666,97.27670579434472,599609.0683046468,1.8617930457201974,599609.0683046468,1.8617930457201974,-7037687.17058389,-21.852099517431192,-35609808.89106419,-110.56886571155744,-27264583.76399966,-84.65684581754847,-91504183.94375813,-284.12154239507583,0.5,0.5,0.0016619633745747955,0.0016619633745747957,165032963.09527722,512.4292463990474,76450315.2304406,237.37910709321432,15622455.72100308,48.50790449296119,9473191.235076336,29.414367618072212,559.2350892784307,7746.808048189778,0.07218909850349384
3840,SC,3,9,1250,522399,1211110,45372,291028,91980,51118,28886,363785,37,290250,0.0005486095170152267,291028,0.00046649807423998154,336400,0.000455136595239134,7266,86662,0.0019406025001882914,0.002478543050721501,392671,0.0007188209927626149,160413,0.0025403814273132408,121261,0.002877205780255422,0.0014676154930656428,0.0009437454842511169,0.001099117806844975,0.000710251421812688,0.0009617192122509569,1875225,0.0014676154930656428,0.0008788769738640765,0.0,0.0,8875163.607163113,30.57765239332683,12291838.976240715,42.349143759657935,14520184.05380482,50.02647391491755,326548.65196798707,1.1250599551007305,326548.65196798707,1.1250599551007305,-7435629.152164503,-25.618016028129208,-38105721.40969861,-131.28586187665329,-18241663.50176994,-62.84810853322977,-98975878.84078652,-341.00216654879074,0.5,0.5,0.0011732462334648596,0.0011732462334648598,116503350.98306058,401.38966746963166,53969326.73938355,185.9408328660932,11028514.594569683,37.996604976984266,6687503.530749701,23.040494507320243,212.81683681133012,5576.38587424634,0.03816393657300352
3850,SC,4,9,2840,1198928,3095590,239547,914716,305888,119605,60591,848399,120,334540,0.0014022426821487443,914716,0.0014662274849035109,1154263,0.0015616745892702395,10112,88718,0.0027007118747459403,0.002537344884423509,908990,0.0016639912145569428,153174,0.0024257409608153847,125721,0.0029830298933663088,0.001999389947904891,0.0021524451548673887,0.0018120910927346397,0.001621006607811141,0.001979461407482596,3889154,0.001999389947904891,0.0018227614811083303,0.0,0.0,30452654.49076967,91.02844051763518,28454249.768923726,85.0548507470668,33612622.53405025,100.47415117489761,1026359.2394324576,3.0679716608849694,1026359.2394324576,3.0679716608849694,-7612034.653270527,-22.75373543752773,-36386114.41223077,-108.7646153292006,-25386691.62261184,-75.88536982905434,-102616228.33180103,-306.73829237699834,0.5,0.5,0.0019110757145066107,0.001911075714506611,189769818.45050648,567.255988672525,87909482.8673041,262.7771951554496,17964111.71636214,53.69794857524404,10893131.572687682,32.561522008392664,684.8440272001998,8056.695761343935,0.08500308904378451
3860,SC,5,9,1380,590744,1462649,54842,469097,116591,55232,39438,385397,59,319250,0.0006625518420728128,469097,0.0007519305603988366,523939,0.0007088698352348295,10276,91567,0.002744512977144905,0.002618826608264472,424835,0.0007777002031224752,177352,0.0028086360014266793,125570,0.0029794470590434963,0.0018014198292978878,0.000912439142653561,0.0011411730101252141,0.0009340303112854303,0.0010109722750310153,2112711,0.0018014198292978878,0.0009901814717323773,0.0,0.0,13822961.787079176,43.29823582483689,13298673.473394327,41.65598582112553,15709544.103074,49.207655765306185,526351.3922791857,1.6487122702558674,526351.3922791857,1.6487122702558674,-7856479.824793416,-24.60917721156904,-42129540.02140019,-131.96410343429974,-25798421.98516211,-80.80946588930966,-102492978.83109628,-321.04300338636267,0.5,0.5,0.0013958006505151326,0.0013958006505151329,138603004.5961527,434.1519329558424,64206829.92369611,201.11771315174974,13120526.11484225,41.09796747014017,7956063.707936257,24.921107934021165,280.3222735419927,6299.044635865309,0.044502347537895226
